Circuit: * Z:\home\shinu\Desktop\thermal_sampler\sims\Draft1.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00045313 to 0.00045313
Heightened Def Con from 0.00045313 to 0.00045313
Heightened Def Con from 0.00045313 to 0.000453131
Heightened Def Con from 0.000453131 to 0.000453131
Heightened Def Con from 0.000453131 to 0.000453132
Heightened Def Con from 0.000453132 to 0.000453132
Heightened Def Con from 0.000453132 to 0.000453132
Heightened Def Con from 0.000453132 to 0.000453132
Heightened Def Con from 0.000453132 to 0.000453132
Heightened Def Con from 0.000453132 to 0.000453132
Heightened Def Con from 0.000453132 to 0.000453132
Heightened Def Con from 0.000453132 to 0.000453133
Heightened Def Con from 0.000453133 to 0.000453133
Heightened Def Con from 0.000453133 to 0.000453133
Heightened Def Con from 0.000453133 to 0.000453134
Heightened Def Con from 0.000453134 to 0.000453135
Heightened Def Con from 0.000453135 to 0.000453135
Heightened Def Con from 0.000453135 to 0.000453135
Heightened Def Con from 0.000453135 to 0.000453135
Heightened Def Con from 0.000453135 to 0.000453135
Heightened Def Con from 0.000453135 to 0.000453137
Heightened Def Con from 0.000453137 to 0.000453138
Heightened Def Con from 0.000453138 to 0.000453138
Heightened Def Con from 0.000453138 to 0.00045314
Heightened Def Con from 0.000453143 to 0.000453143
Heightened Def Con from 0.000453143 to 0.000453143
Heightened Def Con from 0.000453143 to 0.000453143
Heightened Def Con from 0.000453143 to 0.000453143
Heightened Def Con from 0.000453143 to 0.000453143
Heightened Def Con from 0.000453143 to 0.000453143
Heightened Def Con from 0.000453143 to 0.000453143
Heightened Def Con from 0.000453143 to 0.000453143
Heightened Def Con from 0.000453143 to 0.000453143
Heightened Def Con from 0.000453143 to 0.000453144
Heightened Def Con from 0.000453144 to 0.000453145
Heightened Def Con from 0.000453145 to 0.000453145
Heightened Def Con from 0.000453145 to 0.000453145
Heightened Def Con from 0.000453145 to 0.000453145
Heightened Def Con from 0.000453145 to 0.000453145
Heightened Def Con from 0.000453145 to 0.000453146
Heightened Def Con from 0.000453146 to 0.000453146
Heightened Def Con from 0.000453146 to 0.000453148
Heightened Def Con from 0.000453148 to 0.000453148
Heightened Def Con from 0.000453148 to 0.000453149
Heightened Def Con from 0.000453149 to 0.000453149
Heightened Def Con from 0.000453149 to 0.000453149
Heightened Def Con from 0.000453149 to 0.000453149
Heightened Def Con from 0.000453149 to 0.000453149
Heightened Def Con from 0.000453149 to 0.000453149
Heightened Def Con from 0.000453149 to 0.000453149
Heightened Def Con from 0.000453149 to 0.000453149
Heightened Def Con from 0.000453149 to 0.00045315
Heightened Def Con from 0.00045315 to 0.000453151
Heightened Def Con from 0.000453151 to 0.000453151
Heightened Def Con from 0.000453151 to 0.000453151
Heightened Def Con from 0.000453151 to 0.000453153
Heightened Def Con from 0.000453153 to 0.000453153
Heightened Def Con from 0.000453153 to 0.000453153
Heightened Def Con from 0.000453153 to 0.000453153
Heightened Def Con from 0.000453153 to 0.000453153
Heightened Def Con from 0.000453153 to 0.000453153
Heightened Def Con from 0.000453153 to 0.000453153
Heightened Def Con from 0.000453153 to 0.000453153
Heightened Def Con from 0.000453153 to 0.000453154
Heightened Def Con from 0.000453154 to 0.000453155
Heightened Def Con from 0.000453155 to 0.000453155
Heightened Def Con from 0.000453155 to 0.000453155
Heightened Def Con from 0.000453155 to 0.000453155
Heightened Def Con from 0.000453155 to 0.000453155
Heightened Def Con from 0.000453155 to 0.000453155
Heightened Def Con from 0.000453155 to 0.000453155
Heightened Def Con from 0.000453155 to 0.000453155
Heightened Def Con from 0.000453155 to 0.000453156
Heightened Def Con from 0.000453156 to 0.000453156
Heightened Def Con from 0.000453156 to 0.000453157
Heightened Def Con from 0.000453157 to 0.000453158
Heightened Def Con from 0.000453158 to 0.000453158
Heightened Def Con from 0.000453158 to 0.000453158
Heightened Def Con from 0.000453158 to 0.000453158
Heightened Def Con from 0.000453158 to 0.000453158
Heightened Def Con from 0.000453158 to 0.000453159
Heightened Def Con from 0.000453159 to 0.00045316
Heightened Def Con from 0.00045316 to 0.00045316
Heightened Def Con from 0.00045316 to 0.00045316
Heightened Def Con from 0.00045316 to 0.00045316
Heightened Def Con from 0.00045316 to 0.000453162
Heightened Def Con from 0.000453162 to 0.000453163
Heightened Def Con from 0.000453163 to 0.000453163
Heightened Def Con from 0.000453163 to 0.000453164
Heightened Def Con from 0.000453164 to 0.000453165
Heightened Def Con from 0.000453165 to 0.000453165
Heightened Def Con from 0.000453165 to 0.000453165
Heightened Def Con from 0.000453165 to 0.000453165
Heightened Def Con from 0.000453165 to 0.000453165
Heightened Def Con from 0.000453165 to 0.000453166
Heightened Def Con from 0.000453166 to 0.000453167
Heightened Def Con from 0.000453167 to 0.000453167
Heightened Def Con from 0.000453167 to 0.000453167
Heightened Def Con from 0.000453167 to 0.000453167
Heightened Def Con from 0.000453167 to 0.000453167
Heightened Def Con from 0.000453167 to 0.000453167
Heightened Def Con from 0.000453167 to 0.000453168
Heightened Def Con from 0.000453168 to 0.000453168
Heightened Def Con from 0.000453168 to 0.000453169
Heightened Def Con from 0.000453169 to 0.00045317
Heightened Def Con from 0.00045317 to 0.000453171
Heightened Def Con from 0.000453171 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453172
Heightened Def Con from 0.000453172 to 0.000453173
Heightened Def Con from 0.000453173 to 0.000453173
Heightened Def Con from 0.000453173 to 0.000453173
Heightened Def Con from 0.000453173 to 0.000453173
Heightened Def Con from 0.000453173 to 0.000453174
Heightened Def Con from 0.000453174 to 0.000453175
Heightened Def Con from 0.000453175 to 0.000453176
Heightened Def Con from 0.000453176 to 0.000453176
Heightened Def Con from 0.000453176 to 0.000453178
Heightened Def Con from 0.00045318 to 0.000453181
Heightened Def Con from 0.000453181 to 0.000453181
Heightened Def Con from 0.000453181 to 0.000453182
Heightened Def Con from 0.000453182 to 0.000453182
Heightened Def Con from 0.000453182 to 0.000453182
Heightened Def Con from 0.000453182 to 0.000453182
Heightened Def Con from 0.000453182 to 0.000453183
Heightened Def Con from 0.000453183 to 0.000453183
Heightened Def Con from 0.000453183 to 0.000453184
Heightened Def Con from 0.000453184 to 0.000453184
Heightened Def Con from 0.000453184 to 0.000453185
Heightened Def Con from 0.000453185 to 0.000453185
Heightened Def Con from 0.000453185 to 0.000453186
Heightened Def Con from 0.000453186 to 0.000453186
Heightened Def Con from 0.000453186 to 0.000453187
Heightened Def Con from 0.000453188 to 0.000453188
Heightened Def Con from 0.000453188 to 0.000453189
Heightened Def Con from 0.000453189 to 0.000453189
Heightened Def Con from 0.000453189 to 0.00045319
Heightened Def Con from 0.00045319 to 0.000453192
